timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751468471883,2088,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-2,text,false,,265,136,22,22,http://localhost:8080/weather/average/week,2088,0,1
1751468471780,2191,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-1,text,false,,265,136,22,22,http://localhost:8080/weather/average/week,2191,0,2
1751468471990,2016,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-3,text,false,,265,136,23,23,http://localhost:8080/weather/average/week,2016,0,1
1751468472086,2025,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-4,text,false,,265,136,24,24,http://localhost:8080/weather/average/week,2024,0,1
1751468472180,2015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-5,text,false,,265,136,25,25,http://localhost:8080/weather/average/week,2015,0,1
1751468472290,2017,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-6,text,false,,265,136,26,26,http://localhost:8080/weather/average/week,2016,0,0
1751468472382,2018,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-7,text,false,,265,136,27,27,http://localhost:8080/weather/average/week,2018,0,1
1751468472478,2031,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-8,text,false,,265,136,28,28,http://localhost:8080/weather/average/week,2030,0,2
1751468472579,2024,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-9,text,false,,265,136,29,29,http://localhost:8080/weather/average/week,2024,0,1
1751468472678,2018,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-10,text,false,,265,136,30,30,http://localhost:8080/weather/average/week,2018,0,0
1751468472780,2011,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-11,text,false,,265,136,31,31,http://localhost:8080/weather/average/week,2011,0,0
1751468472878,2022,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-12,text,false,,265,136,32,32,http://localhost:8080/weather/average/week,2022,0,1
1751468472979,2029,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-13,text,false,,265,136,33,33,http://localhost:8080/weather/average/week,2029,0,1
1751468473079,2027,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-14,text,false,,265,136,34,34,http://localhost:8080/weather/average/week,2026,0,0
1751468473179,2018,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-15,text,false,,265,136,34,34,http://localhost:8080/weather/average/week,2018,0,0
1751468473280,2027,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-16,text,false,,265,136,36,36,http://localhost:8080/weather/average/week,2027,0,1
1751468473379,2024,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-17,text,false,,265,136,37,37,http://localhost:8080/weather/average/week,2023,0,0
1751468473478,2030,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-18,text,false,,265,136,38,38,http://localhost:8080/weather/average/week,2030,0,1
1751468473578,2021,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-19,text,false,,265,136,39,39,http://localhost:8080/weather/average/week,2021,0,2
1751468473678,2014,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-20,text,false,,265,136,40,40,http://localhost:8080/weather/average/week,2014,0,1
1751468473779,2023,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-21,text,false,,265,136,41,41,http://localhost:8080/weather/average/week,2023,0,0
1751468473876,2020,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-22,text,false,,265,136,42,42,http://localhost:8080/weather/average/week,2020,0,1
1751468473972,2017,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-2,text,false,,265,136,43,43,http://localhost:8080/weather/average/week,2017,0,0
1751468473977,2015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-23,text,false,,265,136,43,43,http://localhost:8080/weather/average/week,2015,0,1
1751468473972,2022,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-1,text,false,,265,136,43,43,http://localhost:8080/weather/average/week,2021,0,0
1751468474007,2013,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-3,text,false,,265,136,43,43,http://localhost:8080/weather/average/week,2012,0,0
