timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751468758707,30221,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-2,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30221,0,0
1751468758595,30334,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-1,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30334,0,1
1751468758800,30129,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-3,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30129,0,0
1751468758910,30037,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-4,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30037,0,0
1751468758995,30016,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-5,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30016,0,0
1751468759096,30014,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-6,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30014,0,0
1751468759195,30020,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-7,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30020,0,0
1751468759294,30019,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-8,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30019,0,1
1751468759396,30013,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-9,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30013,0,0
1751468759496,30015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-10,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,0
1751468759597,30034,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-11,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30033,0,0
1751468759696,30014,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-12,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30014,0,1
1751468759797,30026,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-13,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30026,0,1
1751468759898,30019,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-14,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30019,0,1
1751468760035,30069,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-15,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30069,0,1
1751468760099,30024,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-16,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30024,0,1
1751468760196,30017,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-17,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30017,0,1
1751468760297,30015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-18,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30014,0,1
1751468760398,30043,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-19,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30042,0,1
1751468760497,30015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-20,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,1
1751468760598,30015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-21,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,1
1751468760698,30014,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-22,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30014,0,0
1751468760798,30038,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-23,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30037,0,1
1751468760898,30015,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-24,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,0
1751468760998,30023,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-25,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30022,0,1
1751468761097,30028,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-26,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30028,0,2
1751468761197,30027,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-27,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30027,0,1
1751468761297,30016,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-28,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,0
1751468761397,30011,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-29,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30011,0,1
1751468761498,30024,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-30,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30024,0,1
1751468761598,30028,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-31,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30027,0,1
1751468761698,30023,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-32,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30022,0,1
1751468761798,30016,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-33,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30015,0,0
1751468761897,30014,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-34,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30014,0,0
1751468761996,30018,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-35,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30017,0,1
1751468762098,30029,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-36,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30029,0,1
1751468762199,30033,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-37,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30033,0,1
1751468762298,30021,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-38,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30021,0,0
1751468762397,30020,Get promedio temperatura semanal,500,,Thread Group temperatura promedio semanal 1-39,text,false,,265,136,100,100,http://localhost:8080/weather/average/week,30020,0,1
